carID,brand,model,year,transmission,mileage (mi),odometer (km),fuelType,mpg (mi),L/100km,engineSize (L),price (£),price (CAD)
14022, merc, GL Class, 2017, Automatic, 25462, 40977, Diesel, 56.5, 4.16, 2.1, 24999, 42498.3
14023, vw, Scirocco, 2017, Manual, 9287, 14946, Diesel, 53.3, 4.41, 2, 16798, 28556.6
14025, merc, CLA Class, 2016, Automatic, 82100, 132127, Diesel, 67.3, 3.5, 2.1, 13295, 22601.5
14028, bmw, Z4, 2019, Semi-Auto, 9955, 16021, Petrol, 38.7, 6.08, 2, 32450, 55165
14030, toyota, Avensis, 2018, Manual, 37191, 59853, Diesel, 67.3, 3.5, 1.6, 13695, 23281.5
14031, vw, Scirocco, 2017, Manual, 44081, 70941, Petrol, 47.1, 4.99, 2, 14075, 23927.5
14033, ford, Edge, 2017, Semi-Auto, 41726, 67151, Diesel, 48.7, 4.83, 2, 18998, 32296.6
14034, audi, S4, 2005, Automatic, 62000, 99779, Petrol, 22.4, 10.5, 4.2, 5895, 10021.5
14035, hyundi, I800, 2019, Manual, 4266, 6865, Diesel, 31.7, 7.42, 2.5, 18985, 32274.5
14036, vw, Amarok, 2020, Automatic, 10, 16, Diesel, 28.3, 8.31, 3, 37000, 62900
14040, hyundi, IX35, 2013, Manual, 26454, 42573, Diesel, 48.7, 4.83, 1.7, 8199, 13938.3
14041, ford, Edge, 2017, Manual, 21213, 34139, Diesel, 47.9, 4.91, 2, 21700, 36890
14045, toyota, Camry, 2019, Automatic, 10732, 17271, Hybrid, 52.3, 4.5, 2.5, 25990, 44183
14046, bmw, X7, 2019, Semi-Auto, 3218, 5179, Diesel, 33.6, 7, 3, 66540, 113118
14047, toyota, Prius, 2017, Automatic, 3440, 5536, Hybrid, 94.1, 2.5, 1.8, 20995, 35691.5
14049, ford, Galaxy, 2016, Manual, 28288, 45525, Diesel, 56.5, 4.16, 2, 17995, 30591.5
14050, ford, Edge, 2018, Automatic, 13712, 22067, Diesel, 47.9, 4.91, 2, 23740, 40358
14051, merc, M Class, 2004, Semi-Auto, 165000, 265541, Petrol, 20, 11.76, 3.7, 1995, 3391.5
14053, ford, Tourneo Custom, 2018, Manual, 2500, 4023, Diesel, 32.5, 7.24, 2, 19995, 33991.5
14054, ford, KA, 2009, Manual, 24000, 38624, Petrol, 55.4, 4.25, 1.2, 3695, 6281.5
14057, bmw, 6 Series, 2016, Semi-Auto, 39950, 64293, Diesel, 49.6, 4.74, 3, 22500, 38250
14060, audi, RS3, 2019, Semi-Auto, 5894, 9485, Petrol, 30.1, 7.81, 2.5, 37900, 64430
14061, merc, M Class, 2015, Semi-Auto, 43339, 69747, Diesel, 39.2, 6, 2.1, 21498, 36546.6
14062, toyota, PROACE VERSO, 2019, Manual, 10, 16, Diesel, 40.4, 5.82, 2, 25200, 42840
14066, ford, Galaxy, 2019, Manual, 8307, 13369, Diesel, 55.4, 4.25, 2, 24000, 40800
14067, hyundi, I800, 2018, Manual, 39010, 62780, Diesel, 37.7, 6.24, 2.5, 13992, 23786.4
14068, vw, Arteon, 2019, Automatic, 500, 805, Petrol, 40.4, 5.82, 1.5, 23450, 39865
14070, vw, Amarok, 2015, Automatic, 39267, 63194, Diesel, 35.3, 6.66, 2, 17990, 30583
14073, vw, Scirocco, 2015, Manual, 41878, 67396, Diesel, 55.4, 4.25, 2, 14321, 24345.7
14075, ford, Edge, 2017, Manual, 62124, 99979, Diesel, 48.7, 4.83, 2, 15700, 26690
14076, merc, S Class, 2019, Semi-Auto, 4688, 7545, Petrol, 31.7, 7.42, 4, 109995, 186991.5
14077, merc, X-CLASS, 2019, Automatic, 8000, 12875, Diesel, 31.4, 7.49, 3, 33990, 57783
14081, vw, Scirocco, 2018, Semi-Auto, 23480, 37787, Petrol, 44.1, 5.33, 2, 18500, 31450
14082, merc, GLS Class, 2020, Semi-Auto, 3999, 6436, Diesel, 30.4, 7.74, 3, 76980, 130866
14083, bmw, X4, 2014, Semi-Auto, 41773, 67227, Diesel, 54.3, 4.33, 2, 20572, 34972.4
14084, vw, Amarok, 2017, Automatic, 25624, 41238, Diesel, 36.2, 6.5, 3, 25995, 44191.5
14086, bmw, M4, 2019, Semi-Auto, 5644, 9083, Petrol, 34, 6.92, 3, 44500, 75650
14088, vw, Amarok, 2019, Automatic, 25221, 40589, Diesel, 33.6, 7, 3, 27000, 45900
14090, merc, GL Class, 2016, Automatic, 25285, 40692, Diesel, 56.5, 4.16, 2.1, 24495, 41641.5
14092, merc, CLS Class, 2016, Automatic, 26236, 42223, Diesel, 51.4, 4.58, 3, 22421, 38115.7
14093, bmw, 6 Series, 2010, Automatic, 92642, 149092, Diesel, 40.9, 5.75, 3, 8995, 15291.5
14095, hyundi, I40, 2016, Manual, 50820, 81787, Diesel, 67.3, 3.5, 1.7, 8791, 14944.7
14096, merc, CLS Class, 2013, Automatic, 51423, 82757, Diesel, 55, 4.28, 2.1, 12400, 21080
14101, vw, Scirocco, 2009, Automatic, 112000, 180246, Petrol, 37.2, 6.32, 2, 5995, 10191.5
14103, toyota, Hilux, 2020, Automatic, 5000, 8047, Diesel, 2.8, 84.01, 2.4, 30500, 51850
14104, toyota, Verso, 2017, Semi-Auto, 13913, 22391, Petrol, 42.8, 5.5, 1.8, 14995, 25491.5
14106, ford, Mustang, 2020, Automatic, 3500, 5633, Petrol, 22.1, 10.64, 5, 42489, 72231.3
14108, vw, Amarok, 2019, Manual, 800, 1287, Diesel, 32.5, 7.24, 3, 28995, 49291.5
14112, merc, CLS Class, 2015, Automatic, 34063, 54819, Diesel, 56.5, 4.16, 2.1, 17100, 29070
14113, vw, Caravelle, 2019, Semi-Auto, 6000, 9656, Diesel, 29.4, 8, 2, 48995, 83291.5
14114, ford, Galaxy, 2010, Manual, 92000, 148059, Diesel, 49.6, 4.74, 2, 6995, 11891.5
14115, merc, CLS Class, 2015, Semi-Auto, 40912, 65841, Diesel, 57.7, 4.08, 2.1, 19298, 32806.6
14116, vw, Amarok, 2019, Automatic, 10, 16, Diesel, 28.3, 8.31, 3, 28995, 49291.5
14117, hyundi, Santa Fe, 2019, Semi-Auto, 2390, 3846, Diesel, 39.2, 6, 2.2, 32980, 56066
14118, merc, G Class, 2018, Semi-Auto, 19000, 30577, Petrol, 21.4, 10.99, 4, 135771, 230810.7
14119, audi, A8, 2018, Automatic, 7919, 12744, Diesel, 50.4, 4.67, 3, 39700, 67490
14121, vw, Arteon, 2019, Automatic, 99, 159, Diesel, 52.3, 4.5, 2, 26491, 45034.7
14124, ford, Galaxy, 2016, Manual, 21013, 33817, Petrol, 43.5, 5.41, 1.5, 17315, 29435.5
14125, ford, Galaxy, 2016, Semi-Auto, 34145, 54951, Diesel, 52.3, 4.5, 2, 15870, 26979
14128, vw, Caravelle, 2019, Semi-Auto, 2198, 3537, Diesel, 47.1, 4.99, 2, 40999, 69698.3
14129, bmw, Z4, 2019, Automatic, 5500, 8851, Petrol, 38.7, 6.08, 2, 30969, 52647.3
14131, bmw, X4, 2018, Semi-Auto, 12, 19, Diesel, 42.8, 5.5, 2, 43990, 74783
14132, ford, KA, 2012, Manual, 47000, 75639, Petrol, 57.7, 4.08, 1.2, 4290, 7293
14134, merc, X-CLASS, 2018, Automatic, 3500, 5633, Diesel, 35.8, 6.57, 2.3, 28490, 48433
14136, merc, S Class, 2019, Semi-Auto, 11168, 17973, Diesel, 52.3, 4.5, 3, 47749, 81173.3
14137, merc, CLS Class, 2019, Semi-Auto, 2609, 4199, Diesel, 48.7, 4.83, 2.9, 37500, 63750
14138, merc, M Class, 2014, Automatic, 37986, 61132, Diesel, 39.2, 6, 3, 20499, 34848.3
14141, audi, A8, 2019, Semi-Auto, 10090, 16238, Petrol, 37.7, 6.24, 3, 39995, 67991.5
14143, ford, Galaxy, 2016, Manual, 77495, 124716, Diesel, 56.5, 4.16, 2, 13998, 23796.6
14144, hyundi, Santa Fe, 2016, Manual, 14785, 23794, Diesel, 46.3, 5.08, 2.2, 19797, 33654.9
14145, hyundi, I40, 2014, Manual, 66600, 107182, Diesel, 55.4, 4.25, 1.7, 7880, 13396
14146, merc, V Class, 2015, Automatic, 48500, 78053, Diesel, 45.6, 5.16, 2.1, 26490, 45033
14148, audi, RS4, 2020, Semi-Auto, 2000, 3219, Petrol, 29.1, 8.08, 2.9, 69950, 118915
14152, vw, Scirocco, 2016, Semi-Auto, 9740, 15675, Diesel, 57.6, 4.08, 2, 15500, 26350
14155, bmw, i3, 2017, Automatic, 17338, 27903, Hybrid, 470.8, 0.5, 0, 19495, 33141.5
14157, bmw, X7, 2020, Semi-Auto, 3116, 5015, Diesel, 31.4, 7.49, 3, 72000, 122400
14158, bmw, X4, 2020, Automatic, 10, 16, Diesel, 42.8, 5.5, 2, 40995, 69691.5
14159, toyota, Avensis, 2011, Manual, 75000, 120701, Petrol, 42.2, 5.57, 1.8, 5695, 9681.5
14160, bmw, X4, 2018, Automatic, 17878, 28772, Diesel, 54.3, 4.33, 2, 27800, 47260
14162, toyota, Prius, 2017, Automatic, 24301, 39109, Hybrid, 68.9, 3.41, 1.8, 21995, 37391.5
14163, hyundi, I800, 2018, Manual, 31007, 49901, Diesel, 31.7, 7.42, 2.5, 15949, 27113.3
14164, bmw, Z4, 2019, Semi-Auto, 8626, 13882, Petrol, 38.7, 6.08, 2, 31450, 53465
14167, hyundi, I40, 2017, Manual, 30000, 48280, Diesel, 67.3, 3.5, 1.7, 10995, 18691.5
14168, merc, CLS Class, 2018, Semi-Auto, 12078, 19438, Diesel, 47.9, 4.91, 2.9, 41349, 70293.3
14169, ford, KA, 2015, Manual, 12905, 20769, Petrol, 57.7, 4.08, 1.2, 4942, 8401.4
14171, toyota, GT86, 2020, Manual, 3000, 4828, Petrol, 33.2, 7.08, 2, 31000, 52700
14174, ford, Galaxy, 2017, Manual, 36123, 58134, Diesel, 56.5, 4.16, 2, 17958, 30528.6
14175, hyundi, Santa Fe, 2017, Semi-Auto, 28056, 45152, Diesel, 42.8, 5.5, 2.2, 18850, 32045
14188, audi, RS5, 2019, Automatic, 6500, 10461, Petrol, 30.1, 7.81, 2.9, 56000, 95200
14190, merc, GLS Class, 2017, Semi-Auto, 32875, 52907, Diesel, 37.2, 6.32, 3, 41990, 71383
14193, toyota, Prius, 2016, Automatic, 31055, 49978, Hybrid, 94.1, 2.5, 1.8, 16890, 28713
14196, merc, CLS Class, 2018, Semi-Auto, 18559, 29868, Diesel, 48.7, 4.83, 2.9, 33000, 56100
14198, ford, Edge, 2017, Manual, 31325, 50413, Diesel, 48.7, 4.83, 2, 18500, 31450
14200, ford, KA, 2013, Manual, 69000, 111044, Petrol, 57.7, 4.08, 1.2, 2975, 5057.5
14203, merc, GL Class, 2017, Automatic, 47424, 76321, Diesel, 56.5, 4.16, 2.1, 17999, 30598.3
14205, ford, Mustang, 2017, Automatic, 24000, 38624, Petrol, 23.5, 10.01, 5, 29980, 50966
14206, ford, Galaxy, 2018, Semi-Auto, 25700, 41360, Diesel, 52.3, 4.5, 2, 19199, 32638.3
14207, merc, S Class, 2015, Automatic, 17700, 28485, Diesel, 48.7, 4.83, 3, 29995, 50991.5
14208, bmw, X4, 2020, Semi-Auto, 11, 18, Diesel, 37.2, 6.32, 3, 44995, 76491.5
14212, toyota, Avensis, 2016, Manual, 60017, 96588, Diesel, 67.3, 3.5, 1.6, 9192, 15626.4
14213, ford, Puma, 2020, Manual, 3073, 4946, Petrol, 50.4, 4.67, 1, 20891, 35514.7
14214, hyundi, I40, 2019, Manual, 10, 16, Diesel, 52.3, 4.5, 1.6, 19995, 33991.5
14216, ford, Edge, 2016, Manual, 29808, 47971, Diesel, 48.7, 4.83, 2, 17800, 30260
14217, vw, Caddy Maxi Life, 2020, Semi-Auto, 2000, 3219, Diesel, 46.3, 5.08, 2, 19995, 33991.5
14222, audi, A7, 2019, Semi-Auto, 5724, 9212, Diesel, 48.7, 4.83, 2, 30950, 52615
14223, merc, S Class, 2018, Automatic, 25000, 40234, Diesel, 52.3, 4.5, 2.9, 39990, 67983
14225, merc, SLK, 2016, Semi-Auto, 28852, 46433, Diesel, 70.6, 3.33, 2, 16980, 28866
14227, vw, Tiguan Allspace, 2019, Automatic, 4000, 6437, Diesel, 38.7, 6.08, 2, 29491, 50134.7
14228, bmw, X6, 2016, Semi-Auto, 44914, 72282, Diesel, 42.8, 5.5, 3, 32950, 56015
14229, ford, KA, 2015, Manual, 55000, 88514, Petrol, 57.7, 4.08, 1.2, 3990, 6783
14232, ford, KA, 2017, Manual, 19599, 31541, Petrol, 57.7, 4.08, 1.2, 8000, 13600
14233, ford, Galaxy, 2016, Automatic, 24664, 39693, Diesel, 52.3, 4.5, 2, 19500, 33150
14235, toyota, Prius, 2017, Automatic, 15000, 24140, Hybrid, 94.1, 2.5, 1.8, 18995, 32291.5
14236, merc, CLS Class, 2016, Semi-Auto, 44029, 70858, Diesel, 57.7, 4.08, 2.1, 19980, 33966
14237, audi, RS3, 2015, Semi-Auto, 49000, 78858, Petrol, 34.9, 6.74, 2.5, 26795, 45551.5
14238, merc, V Class, 2018, Manual, 38000, 61155, Diesel, 46.3, 5.08, 2.1, 18990, 32283
14239, audi, A7, 2019, Automatic, 1932, 3109, Diesel, 35.8, 6.57, 3, 53750, 91375
14242, hyundi, IX20, 2017, Manual, 13217, 21271, Petrol, 50.4, 4.67, 1.4, 9798, 16656.6
14244, audi, RS3, 2019, Semi-Auto, 3584, 5768, Petrol, 29.7, 7.92, 2.5, 47990, 81583
14247, ford, Tourneo Connect, 2017, Manual, 5094, 8198, Diesel, 64.2, 3.66, 1.5, 12998, 22096.6
14249, merc, GL Class, 2016, Manual, 34132, 54930, Petrol, 48.7, 4.83, 1.6, 16299, 27708.3
14250, audi, A8, 2017, Automatic, 1420, 2285, Diesel, 50.4, 4.67, 3, 38985, 66274.5
14252, merc, V Class, 2017, Automatic, 33000, 53108, Diesel, 44.6, 5.27, 2.1, 29950, 50915
14253, toyota, Avensis, 2018, Manual, 32236, 51879, Diesel, 67.3, 3.5, 1.6, 12995, 22091.5
14254, vw, Arteon, 2019, Semi-Auto, 4736, 7622, Petrol, 32.8, 7.17, 2, 27990, 47583
14255, vw, Arteon, 2019, Semi-Auto, 5101, 8209, Diesel, 50.4, 4.67, 2, 26090, 44353
14256, merc, CLS Class, 2019, Automatic, 107, 172, Diesel, 47.9, 4.91, 2.9, 46952, 79818.4
14258, bmw, 7 Series, 2007, Automatic, 83000, 133575, Diesel, 34.4, 6.84, 2.5, 5200, 8840
14260, vw, Arteon, 2019, Semi-Auto, 2500, 4023, Diesel, 50.4, 4.67, 2, 31490, 53533
14261, toyota, Hilux, 2018, Automatic, 22919, 36884, Diesel, 36.2, 6.5, 2.4, 22445, 38156.5
14263, ford, Grand Tourneo Connect, 2015, Manual, 115613, 186061, Diesel, 58.9, 3.99, 1.6, 6499, 11048.3
14265, merc, SLK, 2001, Automatic, 48172, 77525, Petrol, 30, 7.84, 2.3, 3990, 6783
14268, hyundi, IX20, 2019, Automatic, 357, 575, Petrol, 34.5, 6.82, 1.6, 14062, 23905.4
14269, ford, Galaxy, 2018, Manual, 31504, 50701, Diesel, 56.5, 4.16, 2, 19499, 33148.3
14270, hyundi, IX35, 2015, Automatic, 51500, 82881, Diesel, 41.5, 5.67, 2, 10000, 17000
14271, ford, Edge, 2016, Manual, 52368, 84278, Diesel, 48.7, 4.83, 2, 15000, 25500
14272, audi, S3, 2014, Semi-Auto, 63000, 101388, Petrol, 40.9, 5.75, 2, 17500, 29750
14274, bmw, M3, 2004, Automatic, 55000, 88514, Petrol, 23.3, 10.1, 3.2, 14950, 25415
14276, vw, Amarok, 2018, Automatic, 5673, 9130, Diesel, 33.6, 7, 3, 32000, 54400
14277, merc, M Class, 2015, Semi-Auto, 43910, 70666, Petrol, 23.9, 9.84, 5.5, 32250, 54825
14279, audi, RS3, 2015, Semi-Auto, 49610, 79839, Petrol, 34.9, 6.74, 2.5, 24699, 41988.3
14281, merc, V Class, 2017, Automatic, 2552, 4107, Diesel, 45.6, 5.16, 2.2, 32499, 55248.3
14282, vw, California, 2019, Semi-Auto, 3544, 5704, Diesel, 29.1, 8.08, 2, 69994, 118989.8
14284, ford, Mustang, 2017, Automatic, 12000, 19312, Petrol, 20.8, 11.31, 5, 32990, 56083
14285, vw, Scirocco, 2017, Semi-Auto, 19458, 31315, Diesel, 57.6, 4.08, 2, 16495, 28041.5
14289, merc, GLS Class, 2019, Automatic, 20429, 32877, Diesel, 37.2, 6.32, 3, 45550, 77435
14290, bmw, X4, 2016, Semi-Auto, 50944, 81986, Diesel, 47.9, 4.91, 3, 21950, 37315
14292, vw, Arteon, 2020, Semi-Auto, 3000, 4828, Diesel, 44.1, 5.33, 2, 31500, 53550
14293, merc, GLS Class, 2019, Semi-Auto, 18717, 30122, Diesel, 34, 6.92, 3, 54990, 93483
14294, vw, CC, 2016, Manual, 33017, 53136, Diesel, 60.1, 3.91, 2, 10965, 18640.5
14295, ford, Grand C-MAX, 2016, Manual, 30665, 49350, Petrol, 54.3, 4.33, 1, 11160, 18972
14296, ford, Edge, 2017, Semi-Auto, 34399, 55360, Diesel, 48.7, 4.83, 2, 20450, 34765
14297, toyota, Prius, 2017, Automatic, 28031, 45111, Hybrid, 94.1, 2.5, 1.8, 19313, 32832.1
14299, hyundi, Santa Fe, 2019, Automatic, 4566, 7348, Diesel, 42.2, 5.57, 2.2, 26290, 44693
14300, merc, GL Class, 2015, Automatic, 45000, 72420, Diesel, 55.4, 4.25, 2.1, 16990, 28883
14302, merc, SLK, 2016, Semi-Auto, 8417, 13546, Diesel, 70.6, 3.33, 2, 18980, 32266
14303, ford, Edge, 2016, Semi-Auto, 20331, 32719, Diesel, 47.9, 4.91, 2, 20490, 34833
14308, vw, CC, 2014, Semi-Auto, 40348, 64934, Diesel, 54.3, 4.33, 2, 9960, 16932
14310, bmw, X6, 2018, Semi-Auto, 6100, 9817, Diesel, 47.1, 4.99, 3, 36995, 62891.5
14311, bmw, X4, 2019, Automatic, 2188, 3521, Petrol, 26.9, 8.74, 3, 42460, 72182
14312, vw, Tiguan Allspace, 2019, Semi-Auto, 9900, 15932, Diesel, 38.7, 6.08, 2, 34495, 58641.5
14315, vw, Arteon, 2017, Semi-Auto, 30874, 49687, Petrol, 47.1, 4.99, 2, 18700, 31790
14317, ford, KA, 2016, Manual, 43151, 69445, Petrol, 57.7, 4.08, 1.2, 4500, 7650
14319, bmw, X4, 2019, Semi-Auto, 15118, 24330, Petrol, 26.9, 8.74, 3, 38000, 64600
14320, vw, Scirocco, 2016, Manual, 35692, 57441, Diesel, 55.4, 4.25, 2, 12990, 22083
14322, bmw, M4, 2017, Semi-Auto, 9215, 14830, Petrol, 34, 6.92, 3, 35352, 60098.4
14323, merc, S Class, 2019, Automatic, 3715, 5979, Diesel, 52.3, 4.5, 2.9, 54994, 93489.8
14324, bmw, X4, 2018, Semi-Auto, 10920, 17574, Diesel, 42.8, 5.5, 2, 32000, 54400
14325, audi, RS6, 2016, Automatic, 27000, 43452, Petrol, 29.4, 8, 4, 52950, 90015
14328, bmw, i8, 2019, Automatic, 10, 16, Hybrid, 141.2, 1.67, 1.5, 74226, 126184.2
14329, merc, CLA Class, 2020, Automatic, 2700, 4345, Petrol, 44.8, 5.25, 1.3, 32900, 55930
14330, ford, Grand C-MAX, 2017, Manual, 27070, 43565, Diesel, 64.2, 3.66, 1.5, 11498, 19546.6
14334, vw, Jetta, 2015, Manual, 26403, 42491, Diesel, 67.3, 3.5, 2, 9990, 16983
14335, vw, Beetle, 2015, Semi-Auto, 37843, 60902, Diesel, 58.9, 3.99, 2, 10495, 17841.5
14336, ford, KA, 2015, Manual, 30938, 49790, Petrol, 57.7, 4.08, 1.2, 4800, 8160
14337, ford, Galaxy, 2017, Semi-Auto, 32582, 52436, Diesel, 52.3, 4.5, 2, 17720, 30124
14338, merc, M Class, 2013, Semi-Auto, 41366, 66572, Diesel, 39.2, 6, 3, 16770, 28509
14339, hyundi, IX20, 2015, Manual, 24305, 39115, Diesel, 64.2, 3.66, 1.6, 7190, 12223
14340, bmw, Z4, 2020, Semi-Auto, 5, 8, Petrol, 37.2, 6.32, 2, 35850, 60945
14342, toyota, Verso, 2015, Manual, 16232, 26123, Diesel, 62.8, 3.75, 1.6, 11495, 19541.5
14344, vw, Arteon, 2018, Semi-Auto, 11555, 18596, Petrol, 47.1, 4.99, 2, 21498, 36546.6
14345, vw, Caddy Maxi Life, 2020, Semi-Auto, 2000, 3219, Diesel, 46.3, 5.08, 2, 23990, 40783
14346, merc, S Class, 2019, Automatic, 15251, 24544, Diesel, 52.3, 4.5, 2.9, 40900, 69530
14347, ford, Galaxy, 2018, Semi-Auto, 34715, 55868, Diesel, 52.3, 4.5, 2, 18000, 30600
14348, merc, CLS Class, 2016, Automatic, 19366, 31166, Diesel, 51.4, 4.58, 3, 22315, 37935.5
14349, toyota, Prius, 2017, Automatic, 43960, 70747, Hybrid, 94.1, 2.5, 1.8, 17000, 28900
14350, ford, KA, 2016, Manual, 55000, 88514, Petrol, 57.7, 4.08, 1.2, 5000, 8500
14352, vw, Caravelle, 2019, Semi-Auto, 6924, 11143, Diesel, 33.6, 7, 2, 41495, 70541.5
14353, vw, Caddy Maxi Life, 2018, Manual, 1959, 3153, Diesel, 57.7, 4.08, 2, 16991, 28884.7
14355, hyundi, IX20, 2016, Manual, 18146, 29203, Petrol, 50.4, 4.67, 1.4, 7695, 13081.5
14357, ford, Grand C-MAX, 2017, Manual, 47178, 75925, Diesel, 64.2, 3.66, 1.5, 11899, 20228.3
14358, vw, Arteon, 2019, Automatic, 4800, 7725, Petrol, 32.8, 7.17, 2, 32850, 55845
14359, vw, Arteon, 2018, Semi-Auto, 4294, 6911, Diesel, 50.4, 4.67, 2, 24995, 42491.5
14362, merc, S Class, 2019, Automatic, 4320, 6952, Diesel, 52.3, 4.5, 3, 52950, 90015
14363, toyota, Avensis, 2018, Manual, 25883, 41655, Diesel, 67.3, 3.5, 1.6, 12000, 20400
14364, toyota, Verso, 2016, Manual, 7674, 12350, Diesel, 62.8, 3.75, 1.6, 12230, 20791
14365, merc, V Class, 2018, Manual, 20841, 33540, Diesel, 46.3, 5.08, 2.1, 20498, 34846.6
14366, hyundi, Santa Fe, 2017, Manual, 22919, 36884, Diesel, 47.1, 4.99, 2.2, 20495, 34841.5
14368, vw, CC, 2016, Automatic, 35034, 56382, Diesel, 58.9, 3.99, 2, 12700, 21590
14369, merc, GL Class, 2016, Automatic, 16000, 25749, Diesel, 36.2, 6.5, 3, 36500, 62050
14372, bmw, 7 Series, 2016, Semi-Auto, 34820, 56037, Diesel, 54.3, 4.33, 3, 25750, 43775
14373, merc, S Class, 2015, Semi-Auto, 35236, 56707, Diesel, 47.9, 4.91, 3, 27498, 46746.6
14376, vw, Tiguan Allspace, 2019, Automatic, 8963, 14425, Diesel, 39.2, 6, 2, 32990, 56083
14378, audi, A8, 2015, Automatic, 46558, 74928, Diesel, 47.9, 4.91, 3, 18950, 32215
14379, ford, Grand C-MAX, 2017, Manual, 17509, 28178, Petrol, 54.3, 4.33, 1, 12931, 21982.7
14380, vw, Caravelle, 2020, Automatic, 5000, 8047, Diesel, 34, 6.92, 2, 50388, 85659.6
14381, merc, X-CLASS, 2017, Automatic, 24800, 39912, Diesel, 35.8, 6.57, 2.3, 31994, 54389.8
14385, ford, Puma, 2020, Manual, 4998, 8043, Petrol, 50.4, 4.67, 1, 20491, 34834.7
14386, hyundi, IX35, 2014, Automatic, 44205, 71141, Diesel, 41.5, 5.67, 2, 9397, 15974.9
14388, vw, Beetle, 2012, Manual, 15000, 24140, Petrol, 37.2, 6.32, 2, 8699, 14788.3
14389, hyundi, IX20, 2016, Manual, 39289, 63229, Petrol, 50.4, 4.67, 1.4, 8000, 13600
14390, vw, Arteon, 2019, Automatic, 4251, 6841, Diesel, 50.4, 4.67, 2, 28990, 49283
14393, merc, SLK, 2003, Automatic, 58500, 94146, Petrol, 30, 7.84, 2.3, 3650, 6205
14396, bmw, X4, 2017, Semi-Auto, 35000, 56327, Diesel, 54.3, 4.33, 2, 22995, 39091.5
14397, merc, GL Class, 2016, Manual, 42320, 68107, Diesel, 64.2, 3.66, 2.1, 15000, 25500
14398, toyota, Verso, 2015, Manual, 34000, 54718, Petrol, 42.8, 5.5, 1.6, 9495, 16141.5
14400, vw, Beetle, 2016, Manual, 21930, 35293, Petrol, 51.4, 4.58, 1.2, 10941, 18599.7
14403, audi, A7, 2016, Automatic, 48669, 78325, Diesel, 61.4, 3.83, 3, 19990, 33983
14405, merc, CLA Class, 2020, Automatic, 1000, 1609, Petrol, 44.8, 5.25, 1.3, 29998, 50996.6
14407, vw, Amarok, 2015, Manual, 49961, 80404, Diesel, 36.2, 6.5, 2, 13998, 23796.6
14408, audi, A7, 2015, Semi-Auto, 34995, 56319, Diesel, 52.3, 4.5, 3, 21488, 36529.6
14413, ford, Galaxy, 2018, Manual, 31766, 51122, Diesel, 56.5, 4.16, 2, 16990, 28883
14414, hyundi, I40, 2017, Manual, 39317, 63274, Diesel, 67.3, 3.5, 1.7, 10000, 17000
14416, bmw, 6 Series, 2017, Automatic, 18000, 28968, Diesel, 51.4, 4.58, 3, 28900, 49130
14417, toyota, Prius, 2016, Automatic, 37908, 61007, Hybrid, 94.1, 2.5, 1.8, 18490, 31433
14419, toyota, Hilux, 2018, Manual, 12086, 19450, Diesel, 40.4, 5.82, 2.4, 23995, 40791.5
14422, audi, A8, 2018, Semi-Auto, 12640, 20342, Diesel, 50.4, 4.67, 3, 34500, 58650
14425, audi, RS4, 2018, Semi-Auto, 23249, 37416, Petrol, 32.1, 7.33, 2.9, 52422, 89117.4
14426, vw, Eos, 2006, Manual, 92640, 149089, Diesel, 48, 4.9, 2, 2995, 5091.5
14428, hyundi, IX35, 2014, Manual, 94870, 152678, Diesel, 53.3, 4.41, 1.7, 6890, 11713
14429, bmw, Z4, 2019, Semi-Auto, 10018, 16122, Petrol, 37.2, 6.32, 2, 33991, 57784.7
14432, audi, RS5, 2019, Automatic, 1000, 1609, Petrol, 29.7, 7.92, 2.9, 63950, 108715
14433, bmw, M5, 2016, Semi-Auto, 25780, 41489, Petrol, 28.5, 8.25, 4.4, 36494, 62039.8
14434, hyundi, IX20, 2013, Manual, 35954, 57862, Petrol, 45.6, 5.16, 1.4, 5498, 9346.6
14435, merc, S Class, 2017, Automatic, 12653, 20363, Diesel, 52.3, 4.5, 3, 37500, 63750
14438, hyundi, Santa Fe, 2017, Manual, 19222, 30935, Diesel, 47.1, 4.99, 2.2, 19995, 33991.5
14439, vw, Scirocco, 2016, Manual, 35026, 56369, Diesel, 67.3, 3.5, 2, 14800, 25160
14441, toyota, Camry, 2019, Automatic, 4416, 7107, Hybrid, 52.3, 4.5, 2.5, 26491, 45034.7
14445, ford, Tourneo Connect, 2019, Manual, 4605, 7411, Diesel, 61.4, 3.83, 1.5, 19998, 33996.6
14446, hyundi, I800, 2019, Automatic, 14674, 23615, Diesel, 31.7, 7.42, 2.5, 19000, 32300
14454, audi, Q8, 2019, Semi-Auto, 9804, 15778, Diesel, 33.6, 7, 3, 51490, 87533
14455, vw, Tiguan Allspace, 2020, Semi-Auto, 2500, 4023, Diesel, 38.7, 6.08, 2, 37950, 64515
14458, bmw, X4, 2019, Semi-Auto, 6250, 10058, Diesel, 42.8, 5.5, 2, 35490, 60333
14460, merc, GLS Class, 2019, Automatic, 6224, 10017, Diesel, 30.4, 7.74, 3, 69990, 118983
14461, vw, Arteon, 2019, Automatic, 1413, 2274, Other, 50.4, 4.67, 2, 24989, 42481.3
14464, vw, Beetle, 2013, Manual, 51780, 83332, Petrol, 47.9, 4.91, 1.2, 7750, 13175
